team,wins,losses,goals,tarjeta amarilla,tarjeta roja,palos/crucetas,goles de cabeza,penalti,goles de saque
Manchester City,32.0,2.0,106.0,59.0,2.0,23.0,12.0,6.0,1.0
Manchester United,25.0,7.0,68.0,64.0,1.0,16.0,12.0,1.0,2.0
Tottenham Hotspur,23.0,7.0,74.0,50.0,2.0,13.0,11.0,2.0,1.0
Chelsea,21.0,10.0,62.0,42.0,4.0,11.0,17.0,3.0,2.0
Liverpool,21.0,5.0,84.0,44.0,1.0,16.0,12.0,2.0,2.0
Arsenal,19.0,13.0,74.0,57.0,2.0,17.0,13.0,4.0,1.0
Burnley,14.0,12.0,36.0,65.0,0.0,9.0,10.0,0.0,1.0
Everton,13.0,15.0,44.0,51.0,3.0,7.0,8.0,5.0,0.0
Leicester City,12.0,15.0,56.0,52.0,5.0,8.0,9.0,5.0,1.0
Newcastle United,12.0,18.0,39.0,52.0,2.0,12.0,7.0,0.0,1.0
AFC Bournemouth,11.0,16.0,45.0,55.0,1.0,10.0,4.0,3.0,1.0
Crystal Palace,11.0,16.0,45.0,72.0,0.0,8.0,4.0,8.0,1.0
Watford,11.0,19.0,44.0,63.0,4.0,8.0,9.0,3.0,0.0
West Ham United,10.0,16.0,48.0,73.0,2.0,14.0,6.0,2.0,1.0
Brighton and Hove Albion,9.0,16.0,34.0,54.0,2.0,8.0,7.0,5.0,0.0
Huddersfield Town,9.0,19.0,28.0,62.0,3.0,8.0,5.0,2.0,0.0
Swansea City,8.0,21.0,28.0,51.0,1.0,8.0,3.0,1.0,0.0
Southampton,7.0,16.0,37.0,63.0,2.0,15.0,7.0,3.0,1.0
Stoke City,7.0,19.0,35.0,62.0,1.0,8.0,8.0,0.0,1.0
West Bromwich Albion,6.0,19.0,31.0,73.0,1.0,7.0,10.0,1.0,1.0
